humour,message,updated_at,child_count,post_id,vote_count,created_at,location,collection Time
0,"Als we allemaal rijker worden, wie wordt er dan armer?",2019-10-18 14:27:19.297000,26,5da97cda98a3fb001d7c096e,6,2019-10-18 10:50:34.414000,Nijmegen,2019-10-19 14:30:02.520517
0,"Zijn er hier mensen die wel eens in een restaurant ofzo gaan studeren? Zo ja, waar? ",2019-10-18 19:22:56.413000,12,5da9811b0c110e001eec4ff8,7,2019-10-18 11:08:43.269000,Nijmegen,2019-10-19 14:35:02.556476
,Oprechte vraag: waar komen de vruchtvliezen bij een zwangerschap vandaan? Waaruit ontstaan ze? Of zaten ze al ergens?,2019-10-18 14:26:40.507000,6,5da981e677af95001ec33e9f,9,2019-10-18 11:12:06.538000,Nijmegen,2019-10-19 14:40:02.624658
0,Wat zijn jullie ervaringen met het huren van een wasmachine en bij welk bedrijf doen jullie dit?,2019-10-18 13:40:50.667000,19,5da98421e0f87e00188e7e79,6,2019-10-18 11:21:37.256000,Nijmegen,2019-10-19 14:50:02.001196
0,Is de Han (kapittelweg 33) open deze week? Ivm de vakantie..,2019-10-18 20:56:05.778000,8,5da98b197c140d001cbcf557,4,2019-10-18 11:51:21.504000,Nijmegen,2019-10-19 15:00:02.252548
,Een aantal van mijn planten krijgt stekjes en ik voel me echt een trotse moeder,2019-10-18 23:36:56.068000,4,5da98799ba0cdd001acb6d92,71,2019-10-18 11:36:25.008000,Nijmegen,2019-10-19 15:00:02.252548
0,Ik zie de laatste tijd steeds meer swapfiets-fietswrakken. Betalen daar nog steeds mensen voor?,2019-10-18 13:20:47.257000,14,5da98dd0c8db8f0023bf9ab1,3,2019-10-18 12:02:56.727000,Nijmegen,2019-10-19 15:10:02.863052
0,Weet iemand wat ontkoppelingspunten zijn? En wat is het doel van het aanleggen daarvan? Ik kan het echt nergens vinden,2019-10-19 14:34:21.410000,2,5dab0271e38b6b001f814fd1,-4,2019-10-19 14:32:49.573000,Nijmegen,2019-10-19 15:25:02.225148
0,"Naar aanleiding van een jodel hieronder, alle swapfietsen die ik zie fietsen hebben enorm platte banden. Waarom pompen deze mensen hun banden niet op? Moet swapfiets dat ook voor je doen?

#?",2019-10-18 19:37:42.144000,22,5da98e1f080341001796ae75,27,2019-10-18 12:04:15.936000,Nijmegen,2019-10-19 15:25:02.225148
0,"Ik zou graag bijles geven. Zijn er jodelaars die dit ook doen en zo ja, bij welk bedrijf? Hoe bevalt dit?",2019-10-18 20:21:48.757000,18,5da994bedaaae1001dd83c2d,8,2019-10-18 12:32:30.177000,Nijmegen,2019-10-19 15:40:02.069801
,"Het leven is één groot gevecht tegen lusten. Drank, roken, porno, seks buiten relatie, gamen, ongezond eten, consumentisme. Is liberalisme en kapitalisme de perfecte wereld? Wat is het familieleven nog waard?",2019-10-19 16:41:34.814000,290,5da997fb8bf14e00197c001c,13,2019-10-18 12:46:19.316000,Nijmegen,2019-10-19 16:45:02.308375
0,"Voor alle medebrabanders: let ff op als je gaat treinen naar het warme zuiden, de trein rijdt nu op perron 4 weg ipv perron 3",2019-10-18 16:50:27.296000,2,5da998aaf3f880001bb3278a,41,2019-10-18 12:49:14.963000,Nijmegen,2019-10-19 16:50:02.629267
,"Dilemma, ik lig nu in een houding waarop ik geen buikpijn heb, maar wil wel eten pakken om een paracetamol te nemen. ",2019-10-19 16:46:35.270000,1,5dab2180a76501001dab4ade,1,2019-10-19 16:45:20.262000,Nijmegen,2019-10-19 16:55:02.952794
,Ze zijn de sfeer verlichting in de stad aan het ophangen 🤗. Ik word helemaal gelukkig van de gedachte aan een heerlijke winter 😍,2019-10-18 21:20:14.299000,3,5da99bb5080341001796d125,66,2019-10-18 13:02:13.620000,Nijmegen,2019-10-19 17:00:02.223131
1,Soms vraag ik me echt af hoe mannen met een enorm dikke en vooral bolle buik daar aan komen,2019-10-18 16:45:35.634000,15,5da99cc4775fae001ed4652b,13,2019-10-18 13:06:44.216000,Nijmegen,2019-10-19 17:20:02.283468
1,"Sinds lang geleden weer eens Peter Pan kijken. Wat is dit niet politiek correct, heerlijk!",2019-10-18 16:07:25.095000,7,5da99fd4220bb0001bdd3547,15,2019-10-18 13:19:48.269000,Nijmegen,2019-10-19 17:30:02.830397
0,Wat gaan jullie eten vanavond?,2019-10-18 23:29:26.514000,20,5da99d7443ef3900190c185b,12,2019-10-18 13:09:40.687000,Nijmegen,2019-10-19 17:30:02.830397
0,Zijn er meer mensen die nog niet de nieuwe Apple update hebben? ,2019-10-18 16:59:45.397000,9,5da9a6137932330022718808,6,2019-10-18 13:46:27.750000,Nijmegen,2019-10-19 17:45:02.445529
0,Heeft er iemand ervaring met online/internet therapie? Vind het een te grote stap om naar de huisarts te gaan.. ,2019-10-19 11:01:04.000000,10,5da9a89cbaa4b0001ca2de17,9,2019-10-18 13:57:16.497000,Nijmegen,2019-10-19 18:15:02.064020
1,"Mijn weegschaal geeft aan dat ik uit 57kg spier besta. Vier jaar geleden woog ik 57, inmiddels 74. Ik wil weer afvallen tot 60, maar hoe kan dat eigenlijk?!",2019-10-19 17:49:27.658000,22,5dab08d5c8be1f001f425f0e,-4,2019-10-19 15:00:05.853000,Nijmegen,2019-10-19 18:20:02.418929
0,Omg de koffiejongen in de openbare bieb in de stad is echt heel knap 😍,2019-10-19 18:09:59.552000,22,5da9ac9890604e0019d619de,24,2019-10-18 14:14:16.013000,Nijmegen,2019-10-19 18:25:02.736635
0,Trailer Park Boys - mooi spul,2019-10-18 18:24:54.636000,2,5da9b12c313f9c001e20b5b7,8,2019-10-18 14:33:48.012000,Nijmegen,2019-10-19 18:30:02.108574
,"Maak een foto van je contant geld! Ik ben benieuwd hoeveel geld jodelaars in hun portemonnee hebben of in hun sokje onder hun matras. En nee, ik ben niet van de belastingsdienst.. of toch wel?😏",2019-10-19 18:33:26.837000,1,5dab3aa95d41c0001d7e3074,1,2019-10-19 18:32:41.095000,Nijmegen,2019-10-19 18:35:02.483766
,#kookles,2019-10-18 17:20:02.247000,4,5da9b8031b699c001bf03378,6,2019-10-18 15:02:59.264000,Nijmegen,2019-10-19 18:55:02.894055
0,Wie heeft zin om vanavond wat te gaan doen? 😇,2019-10-19 05:56:11.763000,41,5da9d38719b734001d6c057a,10,2019-10-18 17:00:23.220000,Nijmegen,2019-10-19 19:40:02.355128
